Algorithm,Seed,Episode,EpisodeHotelRevenue,EpisodeOTAProfit,EpisodeSystemProfit,EpisodeRevenue
PPO,1,56,4751152.0,213309.03268227287,4964461.032682273,4751152.0
PPO,1,57,4744496.0,210578.60057181722,4955074.600571817,4744496.0
PPO,1,58,4737232.0,211645.82489512966,4948877.82489513,4737232.0
PPO,1,59,4734816.0,211966.49949279704,4946782.499492797,4734816.0
PPO,1,60,4749872.0,210966.6796436182,4960838.679643618,4749872.0
PPO,1,61,4743168.0,211421.11113167412,4954589.111131674,4743168.0
PPO,1,62,4745808.0,211340.10188349875,4957148.101883499,4745808.0
PPO,1,63,4758736.0,211871.49244488555,4970607.492444886,4758736.0
PPO,1,64,4742368.0,210425.6113625657,4952793.611362565,4742368.0
PPO,1,65,4732064.0,207767.9271502278,4939831.927150228,4732064.0
PPO,1,66,4716592.0,211645.8125903387,4928237.812590338,4716592.0
PPO,1,67,4738576.0,211169.36400406953,4949745.36400407,4738576.0
PPO,1,68,4766240.0,213934.6493530838,4980174.649353084,4766240.0
PPO,1,69,4716784.0,212355.84245170385,4929139.842451704,4716784.0
PPO,1,70,4728736.0,214082.89298202132,4942818.892982021,4728736.0
PPO,1,71,4728176.0,211332.13960767136,4939508.139607672,4728176.0
PPO,1,72,4707232.0,210408.1491993778,4917640.149199378,4707232.0
PPO,1,73,4745104.0,210497.94766038927,4955601.947660389,4745104.0
PPO,1,74,4738752.0,211349.90031419927,4950101.900314199,4738752.0
PPO,1,75,4750352.0,211866.57458365668,4962218.574583657,4750352.0
PPO,1,76,4747536.0,210708.1335582419,4958244.133558242,4747536.0
PPO,1,77,4759760.0,212720.4326641661,4972480.432664166,4759760.0
PPO,1,78,4733024.0,210822.73012286532,4943846.730122865,4733024.0
PPO,1,79,4763472.0,211771.26024055437,4975243.260240555,4763472.0
PPO,1,80,4742512.0,211465.101428735,4953977.101428735,4742512.0
PPO,1,81,4733888.0,210978.73489767718,4944866.734897677,4733888.0
PPO,1,82,4758096.0,214200.87874662867,4972296.878746629,4758096.0
PPO,1,83,4741520.0,214398.3098502004,4955918.3098502,4741520.0
PPO,1,84,4734640.0,211888.4854342735,4946528.485434273,4734640.0
PPO,1,85,4750352.0,213491.4183411893,4963843.41834119,4750352.0
PPO,1,86,4721264.0,208875.83975863573,4930139.8397586355,4721264.0
PPO,1,87,4743248.0,207885.77144722585,4951133.7714472255,4743248.0
