state,visit_count,best_action,best_subsidy,best_q_value,avg_q_value,q_action_0,q_action_1,q_action_2,q_action_3,q_action_4
45,1446.0,1,0.2,0.06378823675272867,0.014745138285342258,0.0033196412525831696,0.06378823675272867,0.0025844958313990633,0.0024798667973845957,0.0015534507926157747
46,3232.0,0,0.0,0.14272288487713278,0.03999415397692203,0.14272288487713278,0.014874520838625954,0.014665740430752451,0.013866752189423702,0.01384087154867526
47,7967.0,0,0.0,0.13961514373186043,0.056951940926216825,0.13961514373186043,0.03908482778396274,0.03829808757692831,0.03650620288135013,0.031255442656982484
48,553.0,0,0.0,0.061118229582921964,0.013240386188669151,0.061118229582921964,0.001919810623294224,0.000860558884883505,0.001158960768856375,0.0011443710833896896
49,47.0,3,0.6,0.023562345004673448,0.004933106388899636,0.00019561743180185963,0.0003382176777165293,0.0004708144560011671,0.023562345004673448,9.853737430517488e-05
50,71.0,0,0.0,0.024443574591844926,0.0054003739347451545,0.024443574591844926,0.0006734524146877146,0.0006704856095321407,0.0006194237921876234,0.0005949332654733692
51,365.0,0,0.0,0.054516815931075616,0.011339422098108605,0.054516815931075616,0.0007734301649801206,0.00019881117535312738,0.0010088710702983,0.00019918214883585746
52,10.0,0,0.0,0.0007263115805461666,0.0003070718611767043,0.0007263115805461666,0.0003737499906772382,0.00036502743523607914,5.426768324285649e-05,1.600261618118084e-05
53,260.0,1,0.2,0.10114428016065079,0.02162063469563775,0.002509199778174911,0.10114428016065079,0.0021376378296171354,0.0009139078254594107,0.001398147884286495
54,34.0,0,0.0,0.011297670897689533,0.002296376237241598,0.011297670897689533,5.771605973393534e-05,8.632362484094193e-05,4.0170603943579266e-05,0.0
55,98.0,1,0.2,0.07032707405592073,0.014168222211904242,0.0,0.07032707405592073,0.0003773497394617644,0.0001366872641387008,0.0
56,1006.0,0,0.0,0.12808453584278195,0.029110521951785186,0.12808453584278195,0.005390919393108963,0.005264421284120894,0.003378560127476351,0.0034341731114377896
57,14.0,0,0.0,0.004975577438354177,0.0009951154876708353,0.004975577438354177,0.0,0.0,0.0,0.0
58,50.0,1,0.2,0.039889617284783754,0.00806541936959674,5.880929715567562e-05,0.039889617284783754,8.629699922887078e-05,0.0002498817884474119,4.249147836798237e-05
59,385.0,0,0.0,0.12373913452496646,0.026274960167068716,0.12373913452496646,0.0021750684788762486,0.001074701615394651,0.001975431996885965,0.0024104642192202454
60,15.0,0,0.0,0.004952624511885403,0.0009921553412784879,0.004952624511885403,0.0,0.0,8.152194507036343e-06,0.0
61,10.0,0,0.0,0.00805000274165616,0.001610000548331232,0.00805000274165616,0.0,0.0,0.0,0.0
62,382.0,0,0.0,0.11239414258948814,0.02490876787546646,0.11239414258948814,0.002860838719448526,0.003269725730542427,0.0031679439618850147,0.0028511883759682033
63,22.0,0,0.0,0.008642366702731104,0.001728473340546221,0.008642366702731104,0.0,0.0,0.0,0.0
64,11.0,3,0.6,0.008488256481490946,0.0016976512962981892,0.0,0.0,0.0,0.008488256481490946,0.0
65,552.0,0,0.0,0.12752017132534352,0.028456311181149146,0.12752017132534352,0.004977513242895963,0.003473087828429225,0.00305735340213589,0.003253430106941111
66,1.0,0,0.0,0.00040568445425114496,8.1136890850229e-05,0.00040568445425114496,0.0,0.0,0.0,0.0
68,98.0,3,0.6,0.06323364683576989,0.012900982854265974,0.00022708703602962655,0.00032720655970820136,0.00037308746783044515,0.06323364683576989,0.00034388637199171717
69,1.0,0,0.0,0.0006274072517478158,0.00012548145034956316,0.0006274072517478158,0.0,0.0,0.0,0.0
71,126.0,0,0.0,0.07766962004319744,0.016505540444019175,0.07766962004319744,0.0007365245825066986,0.0017595514484642716,0.0006505224773840929,0.0017114836685433524
